T,ZAJC,Gen
Por,STRAKOSHA,Laz
Por,MERET,Nap
Pc,PAVOLETTI,Cag
Pc,FAVILLI,Ver
Pc,LASAGNA,Ver
M;C,HETEMAJ,Ben
M;C,SCHIATTARELLA,Ben
M;C,AMRABAT,Fio
M,BEHRAMI,Gen
M,RADOVANOVIC,Gen
M,RINCON,Tor
M,WALACE,Udi
Ds;E,CZYBORRA,Gen
Ds;E,PEZZELLA GIU.,Par
Ds;Dc,CALDIROLA,Ben
Ds;Dc,GAGLIOLO,Par
Dd;E,GHIGLIONE,Gen
Dd;E,PEREIRA P.,Cro
Dc,CHABOT,Spe
Dc,COLLEY,Sam
Dc,NUYTINCK,Udi
Dc,DAWIDOWICZ,Ver
Dc,KUMBULLA,Rom
Dc,BONIFAZI,Udi
Dc,SMALLING,Rom
C;T,AGUDELO,Spe
C;T,VULIC,Cro
C,VILLAR,Rom
A,KOUAME',Fio
A,IAGO FALQUE,Ben
A,FORESTIERI,Udi
W;A,IMPROTA,Ben
W;A,DEULOFEU,Udi
T,KOVALENKO,Ata
Por,SIRIGU,Tor
Pc,GALABINOV,Spe
Pc,KALINIC,Ver
Pc,ZIRKZEE,Par
M;C,ROG,Cag
M;C,BADELJ,Gen
M;C,CRISTANTE,Rom
M,MEDEL,Bol
Ds;E,RECA,Cro
Ds;E,LYKOGIANNIS,Cag
Ds;E,ALEX SANDRO,Juv
Ds;Dc,RADU,Laz
Ds;Dc,MARCHIZZA,Spe
Dd;E,DI LORENZO,Nap
Dd;E,BRUNO PERES,Rom
Dd;E,MAEHLE,Ata
Dd;Ds;E,YOUNG,Int
Dd;Dc;E,STRYGER LARSEN,Udi
Dc,GODIN,Cag
Dc,DEMIRAL,Juv
Dc,RUGANI,Cag
C,VIOLA,Ben
C,DOMINGUEZ,Bol
C,MAGGIORE,Spe
C,LINETTY,Tor
C,ADRIEN SILVA,Sam
W;T,BERNARDESCHI,Juv
W,CALLEJON,Fio
Por,SPORTIELLO,Ata
Por,BUFFON,Juv
Por,SEPE,Par
Pc,RASPADORI,Sas
Pc,MURIQI,Laz
M;C,POLI,Bol
M;C,SCHOUTEN,Bol
M;C,PULGAR,Fio
M;C,STURARO,Ver
M;C,BRUGMAN,Par
M;C,BOURABIA,Sas
M;C,MANDRAGORA,Tor
M;C,EDUARDO HENRIQUE,Cro
M;C,AKPA AKPRO,Laz
Ds;E,ASAMOAH,Cag
Ds;E,ROGERIO,Sas
Ds;E,OUWEJAN,Udi
Ds;Dc,BARBA,Ben
Dd;E,BERESZYNSKI,Sam
Dd;E,DE SILVESTRI,Bol
Dd;Ds;E,HYSAJ,Nap
Dd;Ds;Dc,CACERES,Fio
Dd;Dc,MASIELLO,Gen
Dd;Dc,CHIRICHES,Sas
Dc,DANILO LAR.,Bol
Dc,CHIELLINI,Juv
Dc,LUIZ FELIPE,Laz
Dc,MAGNANI,Ver
Dc,RODRIGO BECAO,Udi
Dc,GUNTER,Ver
Dc,LOVATO,Ver
Dc,SOUMAORO,Bol
Dc,ONGUENE',Gen
C;T,ESTEVEZ,Spe
C,AGOUME,Spe
C,SENSI,Int
W;A,BRAAF,Udi
Por,DA COSTA,Bol
Por,CORDAZ,Cro
Pc,LLORENTE,Udi
Pc,CORNELIUS,Par
Pc,INGLESE,Par
Pc,GABBIADINI,Sam
Pc,DI CARMINE,Cro
M;C,ESCALANTE,Laz
M;C,LUCAS LEIVA,Laz
M;C,PAROLO,Laz
M;C,BENNACER,Mil
M;C,OBIANG,Sas
Ds;E,MURRU,Tor
Ds;E,KYRIAKOPOULOS,Sas
Ds;E,RODRIGUEZ R.,Tor
Ds;Dc,IGOR,Fio
Ds;Dc,BUONGIORNO,Tor
Dd;E,MOLINA N.,Udi
Dd;E,RISPOLI,Cro
Dd;Ds;E,HICKEY,Bol
Dd;Dc;E,PATRIC,Laz
Dd;Dc,CECCHERINI,Ver
Dd;Dc,KALULU,Mil
Dc,GLIK,Ben
Dc,TUIA,Ben
Dc,BANI,Par
Dc,CEPPITELLI,Cag
Dc,WALUKIEWICZ,Cag
Dc,GOLDANIGA,Gen
Dc,TONELLI,Sam
Dc,AYHAN,Sas
Dc,MARLON,Sas
Dc,TERZI,Spe
Dc,LYANCO,Tor
Dc,OSORIO,Par
C;W,TELLO,Ben
C;T,BESSA,Ver
C,IONITA,Ben
C,RABIOT,Juv
C,TONALI,Mil
W;A,HARASLIN,Sas
Por,MONTIPO',Ben
Pc,SANTANDER,Bol
Pc,SALCEDO E.,Ver
M;C,DEIOLA,Cag
M;C,DABO,Ben
M;C,DUNCAN,Cag
M;C,CYPRIEN,Par
M;C,ROVELLA,Gen
M,SOHM,Par
E,FARES,Laz
Ds;E,FOULON,Ben
Ds;E,DIJKS,Bol
Ds;E,FRABOTTA,Juv
Ds;Dc,DJIDJI,Cro
Dd;E,FERRER,Spe
Dd;E,VOJVODA,Tor
Dd;E,RUEGG,Ver
Dd;Ds;E,TOLJAN,Sas
Dd;Ds;E,DALOT,Mil
Dd;Dc,MAKSIMOVIC,Nap
Dd;Dc,IACOPONI,Par
Dc,ZAPATA C.,Gen
Dc,RANOCCHIA,Int
Dc,BRUNO ALVES,Par
Dc,ERLIC,Spe
Dc,N'KOULOU,Tor
Dc,DE MAIO,Udi
Dc,MAGALLAN,Cro
Dc,ISMAJLI,Spe
Dc,MARTINEZ QUARTA,Fio
Dc,HOEDT,Laz
C,GRASSI,Par
C,BASELLI,Tor
C,MELEGONI,Gen
W;T;A,PEREIRO,Cag
W;T,EYSSERIC,Fio
W,TRAMONI M.,Cag
T;A,BRUNETTA,Par
Por,RAFAEL,Spe
Por,PALEARI,Gen
Pc,MONCINI,Ben
Pc,PINAMONTI,Int
Pc,DI SERIO,Ben
M;C,CATALDI,Laz
M;C,LOBOTKA,Nap
M;C,DIAWARA,Rom
M;C,ACAMPORA,Spe
M;C,CIGARINI,Cro
E;C,LULIC,Laz
E,ANDERSON D.,Laz
Ds;E,PELLEGRINI LU.,Gen
Ds;E,GHOULAM,Nap
Ds;E,CALAFIORI,Rom
Ds;E,RUGGERI,Ata
Ds;Dc,CARBONI,Cag
Ds;Dc,LUPERTO,Cro
Ds;Dc,JUAN JESUS,Rom
Ds;Dc,DELL'ORCO,Spe
Dd;E,CONTI,Par
Dd;E,MALCUIT,Fio
Dd;E,VIGNALI,Spe
Dd;E,REYNOLDS,Rom
Dd;Ds;E,VENUTI,Fio
Dd;Dc,FERRARI A.,Sam
Dc,CALDARA,Ata
Dc,SUTALO,Ata
Dc,KLAVAN,Cag
Dc,CUOMO,Cro
Dc,GABBIA,Mil
Dc,MUSACCHIO,Laz
Dc,CETIN,Ver
Dc,VALENTI,Par
Dc,PASTINA,Ben
C;W,LERIS,Sam
C;T,BENALI,Cro
C;T,KRUNIC,Mil
C,BORJA VALERO,Fio
A,SANSONE,Bol
A,OUNAS,Cro
A,MIHAILA,Par
A,ODDEI,Sas
W,SPROCATI,Par
T;A,MALDINI,Mil
T;A,MONTIEL,Fio
T,SAPONARA,Spe
